category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,40,100,0.470601466
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,40,100,0.470625527
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,40,100,0.478499171
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,40,100,0.483695521
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,40,100,0.492862383
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,40,100,0.499407655
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,80,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,80,100,0.494373909
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,80,100,0.496623121
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,80,100,0.497265817
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,80,100,0.498880026
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,80,100,0.502094966
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,80,100,0.505182134
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,80,100,0.507239205
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,80,100,0.514353021
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,80,100,0.524567228
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,10,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,10,100,0.417491667
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,10,100,0.43136676
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,10,100,0.441738212
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,20,10,100,0.444994727
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,20,10,100,0.447679012
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,20,10,100,0.448594474
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,10,100,0.451571702
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,20,10,100,0.461543132
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,20,10,100,0.466354537
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,20,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,20,100,0.432778181
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,20,20,100,0.448558936
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,20,20,100,0.458908516
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,20,100,0.461365703
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,20,100,0.465468303
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,20,20,100,0.46763323
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,20,20,100,0.474925524
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,20,100,0.48508346
