,r2
351,0.5863856839858061
352,0.5861319787653355
353,0.5866767581757353
354,0.5861485714295713
355,0.5864548731610153
356,0.586293627358424
357,0.5864599398424228
358,0.5864352978331767
359,0.5857341072691947
360,0.585565493674331
361,0.5858436775795566
362,0.5852147473686579
363,0.5851923545877692
364,0.5852368720618437
365,0.5852380071339087
366,0.5855852346731516
367,0.585300238517243
368,0.5852920936771249
369,0.5852530302431856
370,0.5848075793307568
371,0.5848952092610111
372,0.5848812217058401
373,0.5849526872672663
374,0.5845343605221838
375,0.5849714388570064
376,0.5856540273936907
377,0.5849123141805163
378,0.5852325163806018
379,0.5861382117900636
380,0.5863783873490191
381,0.5859887483935642
382,0.5866728820010916
383,0.5867850116287755
384,0.5867555882562621
385,0.5864078082301908
386,0.5863894129482672
387,0.5864117787423374
388,0.5866166312257755
389,0.587028783591319
390,0.5871783124146437
391,0.5864623287476649
392,0.586281267780928
393,0.586661385987543
394,0.5866775540448579
395,0.5869492735358839
396,0.5868173424092358
397,0.5865871657539534
398,0.5870758974720256
399,0.5873508056212641
400,0.5874718918419237
