experiment,category,learner,query_strategy,n_estimators,max_depth,n_learners,n_initial,n_queries,r2
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,18,1,80,1,0.264407719
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,19,1,80,1,0.327274173
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,1,1,80,1,0.186011536
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,2,1,80,1,0.147782866
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,3,1,80,1,0.266331186
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,4,1,80,1,0.312957497
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,5,1,80,1,0.273117039
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,6,1,80,1,0.264987192
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,7,1,80,1,0.289809631
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,8,1,80,1,0.324150174
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,9,1,80,1,0.269393918
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,10,1,80,1,0.231101988
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,11,1,80,1,0.276411766
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,12,1,80,1,0.315798912
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,13,1,80,1,0.243142136
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,14,1,80,1,0.225667596
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,15,1,80,1,0.291995136
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,16,1,80,1,0.274697825
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,17,1,80,1,0.274312743
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,18,1,80,1,0.283990066
4_1,Single Learner,Random Forest Regressor,GP_regression_std,46,19,1,80,1,0.318557172
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,1,1,80,1,0.085592608
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,2,1,80,1,0.246950344
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,3,1,80,1,0.289412068
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,4,1,80,1,0.266332321
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,5,1,80,1,0.2631931
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,6,1,80,1,0.300848255
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,7,1,80,1,0.130572456
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,8,1,80,1,0.079042399
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,9,1,80,1,0.323081771
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,10,1,80,1,0.195009957
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,11,1,80,1,0.144291344
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,12,1,80,1,0.270447633
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,13,1,80,1,0.262028687
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,14,1,80,1,0.241357333
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,15,1,80,1,0.195167267
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,16,1,80,1,0.18450976
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,17,1,80,1,0.298395758
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,18,1,80,1,0.235560613
4_1,Single Learner,Random Forest Regressor,GP_regression_std,51,19,1,80,1,0.276360452
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,1,1,80,1,0.131818709
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,2,1,80,1,0.268986497
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,3,1,80,1,0.259639342
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,4,1,80,1,0.361617629
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,5,1,80,1,0.317295586
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,6,1,80,1,0.247397504
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,7,1,80,1,0.272149861
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,8,1,80,1,0.264945369
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,9,1,80,1,0.146867187
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,10,1,80,1,0.28060732
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,11,1,80,1,0.294248052
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,12,1,80,1,0.038759091
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,13,1,80,1,0.286266822
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,14,1,80,1,0.275949869
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,15,1,80,1,0.255126548
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,16,1,80,1,0.282931166
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,17,1,80,1,0.288094263
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,18,1,80,1,0.324080815
4_1,Single Learner,Random Forest Regressor,GP_regression_std,56,19,1,80,1,0.337856471
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,1,1,80,1,0.127945999
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,2,1,80,1,0.253405355
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,3,1,80,1,0.150051054
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,4,1,80,1,0.156697567
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,5,1,80,1,0.250408413
