,r2
118,0.5179741967062379
119,0.5191872405346192
120,0.5197527057519646
121,0.5207403528367571
122,0.5207739552766275
123,0.520972751818925
124,0.5212571300055091
125,0.522454617096667
126,0.521990773364639
127,0.5198074777340141
128,0.5204559016236339
129,0.5221571230464794
130,0.5222431415430175
131,0.5224682623881378
132,0.525786951144419
133,0.5266022427814425
134,0.5281103559380115
135,0.5269779235583538
136,0.5275096140172107
137,0.5274024720037808
138,0.5303264510039456
139,0.5305742308222996
140,0.5310806881307948
141,0.5291947429108615
142,0.5290481108412877
143,0.5299538583870735
144,0.5303483055833603
145,0.5304827439308448
146,0.5306272978271747
147,0.5306777663422162
148,0.529792284953325
149,0.5332590628752991
150,0.5320662206983497
151,0.5322527259537881
152,0.5313887040421353
153,0.5325159941397685
154,0.5329797304886275
155,0.5334451770276569
156,0.533252269337841
157,0.5335782217425258
158,0.5339629362354783
159,0.5325377066855819
160,0.5336642231149383
161,0.5333822375723554
162,0.5341689616155054
163,0.5339311749162432
164,0.5345973923408865
165,0.5358798188514078
166,0.5368105213881453
167,0.5399124340228503
168,0.5411863073990736
169,0.5394631129129086
170,0.5393272175225318
171,0.540421768694813
172,0.5406009535210308
173,0.5416851166180988
174,0.5433085136294533
175,0.5449442678828214
176,0.5454601330158736
177,0.5455916356822825
178,0.5451986215107867
179,0.543929015532011
180,0.5462368194541671
181,0.5468752961834531
182,0.5472263032559427
183,0.5466741402899716
184,0.5482733861584332
185,0.5490742339892464
186,0.5487781961897333
187,0.549233198001172
188,0.5495927387136771
189,0.5503723849344595
190,0.5501746551044111
191,0.549408776807039
192,0.550975558497276
193,0.5517694187722262
194,0.552014425114713
195,0.5528657783636446
196,0.5505571141326331
197,0.5501833233653115
198,0.5492961049412672
199,0.551091318063452
200,0.5500509264995399
201,0.5497393869037333
202,0.5489810796546346
203,0.5505179140986654
204,0.5509282497594779
205,0.5525182967690285
206,0.5524238354539994
207,0.5516510525193326
208,0.5519563775194184
209,0.5525957785185107
210,0.5546415518725304
211,0.5554755717320805
212,0.5549322353672421
213,0.5554126376942145
214,0.5565911363128031
215,0.557298559959676
216,0.5580862424119393
217,0.5573640781965434
218,0.555750650342745
219,0.5568157678609014
220,0.5568571739539756
221,0.5576705181513337
222,0.5574019631418712
223,0.5577943945501198
224,0.5585842429694733
225,0.5585100388191577
226,0.5593917715543093
227,0.5600312857736605
228,0.56092279851474
229,0.5600615502417158
230,0.5602168425657472
231,0.5605718235056388
232,0.5606751237933687
233,0.5602875239972968
234,0.560808274765043
235,0.5610665250129829
236,0.5610368896652349
237,0.5613807595822671
238,0.5623347882404346
239,0.5621005331313622
240,0.5616532605570476
241,0.5628619677736597
242,0.5636025974148388
243,0.5637987107741957
244,0.5643628917891614
245,0.5650075332056628
246,0.5652867811655631
247,0.5657108251207812
248,0.5655886403049284
249,0.566411790272316
250,0.5668221685309045
251,0.5669840514431516
252,0.5661917373052241
253,0.5666730878997102
254,0.5668629195113524
255,0.5655076026757475
256,0.5654271604129198
257,0.5655137866229356
258,0.5657773080167268
259,0.566242013189771
260,0.5658666483228174
261,0.5664811216152874
262,0.5662982645529953
263,0.5671763590047798
264,0.5679551009505532
265,0.5683311121394732
266,0.5681451938430633
267,0.568153256365873
