experiment,category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,10,100,0.372010043
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,20,100,0.372272283
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,10,100,0.373787988
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,20,100,0.376908847
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,10,100,0.377088704
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,5,20,100,0.378178773
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,40,100,0.380422161
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,20,100,0.392697924
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,80,100,0.397653008
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,80,100,0.400696039
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,20,100,0.404263516
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,5,40,100,0.408519761
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,10,100,0.417491667
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,80,100,0.419060453
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,20,100,0.420076313
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,40,100,0.42083837
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,80,100,0.422596915
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,40,100,0.429743918
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,80,100,0.430663457
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,10,100,0.43136676
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,20,100,0.432778181
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,40,100,0.436288923
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,5,40,100,0.436360638
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,20,100,0.440682773
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,20,100,0.441638848
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,10,100,0.441738212
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,40,100,0.441871759
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,20,100,0.443422813
